id,question,option_a,option_b,option_c,option_d,correct_option,explanation,topic,difficulty
1,Xuất bản phẩm được xuất bản thông qua đâu?,Nhà xuất bản hoặc cơ quan được cấp phép,Cửa hàng văn phòng phẩm,Doanh nghiệp vận tải,Kho lưu trữ,A,,MHXBP,1
2,Xuất bản phẩm có thể được thể hiện dưới hình thức nào?,Sách in,Sách chữ nổi,Bản ghi âm ghi hình,Tất cả các đáp án trên,D,,MHXBP,1
3,Một đặc điểm của mặt hàng xuất bản phẩm là gì?,Mang giá trị văn hóa,Mang giá trị kinh tế,Mang giá trị giáo dục,Tất cả các đáp án trên,D,,MHXBP,1
4,Mặt hàng văn hóa phẩm bao gồm nhóm nào sau đây?,Lịch,Tranh ảnh,Thủ công mỹ nghệ,Tất cả các đáp án trên,D,,MHXBP,1
5,Một yêu cầu khi kinh doanh văn hóa phẩm là gì?,Đảm bảo tính thẩm mỹ,Phân khu rõ ràng,Đảm bảo chất lượng,Tất cả các đáp án trên,D,,MHXBP,1
6,Mặt hàng văn hóa phẩm bao gồm nhóm nào sau đây?,Lịch,Tranh ảnh,Thủ công mỹ nghệ,Tất cả các đáp án trên,D,,MHXBP,1
7,Một yêu cầu khi kinh doanh văn hóa phẩm là gì?,Đảm bảo tính thẩm mỹ,Phân khu rõ ràng,Đảm bảo chất lượng,Tất cả các đáp án trên,D,,MHXBP,1
8,Xuất bản phẩm được xuất bản thông qua đâu?,Nhà xuất bản hoặc cơ quan được cấp phép,Cửa hàng văn phòng phẩm,Doanh nghiệp vận tải,Kho lưu trữ,A,,MHXBP,1
9,Xuất bản phẩm có thể được thể hiện dưới hình thức nào?,Sách in,Sách chữ nổi,Bản ghi âm ghi hình,Tất cả các đáp án trên,D,,MHXBP,1
10,Một đặc điểm của mặt hàng xuất bản phẩm là gì?,Mang giá trị văn hóa,Mang giá trị kinh tế,Mang giá trị giáo dục,Tất cả các đáp án trên,D,,MHXBP,1
11,Phân loại sách là gì?,Sắp xếp sách có hệ thống,Định giá sách,In sách,Quảng cáo sách,A,,MHXBP,1
12,Phân loại sách dựa trên yếu tố nào?,Nội dung tri thức,Đối tượng sử dụng,Mục đích sử dụng,Tất cả các đáp án trên,D,,MHXBP,1
13,Phân loại sách khoa học giúp ích gì?,Dễ tìm kiếm sách,Quản lý kho hiệu quả,Kiểm kê nhanh chóng,Tất cả các đáp án trên,D,,MHXBP,1
14,Một hệ quả của việc phân loại sách không khoa học là gì?,Khách khó tìm sách,Giảm hiệu quả bán hàng,Khó kiểm kê,Tất cả các đáp án trên,D,,MHXBP,1
15,Vai trò nổi bật của xuất bản phẩm hiện nay là gì?,Nâng cao dân trí,Bảo tồn văn hóa,Thúc đẩy giao lưu quốc tế,Tất cả các đáp án trên,D,,MHXBP,1
16,Phân loại sách là gì?,Sắp xếp sách có hệ thống,Định giá sách,In sách,Quảng cáo sách,A,,MHXBP,1
17,Phân loại sách dựa trên yếu tố nào?,Nội dung tri thức,Đối tượng sử dụng,Mục đích sử dụng,Tất cả các đáp án trên,D,,MHXBP,1
18,Phân loại sách khoa học giúp ích gì?,Dễ tìm kiếm sách,Quản lý kho hiệu quả,Kiểm kê nhanh chóng,Tất cả các đáp án trên,D,,MHXBP,1
19,Một hệ quả của việc phân loại sách không khoa học là gì?,Khách khó tìm sách,Giảm hiệu quả bán hàng,Khó kiểm kê,Tất cả các đáp án trên,D,,MHXBP,1
20,Sách chính trị – pháp luật có đặc điểm gì?,Tính chính trị – pháp lý cao,Độ chính xác cao,Tính cập nhật mạnh,Tất cả các đáp án trên,D,,MHXBP,1
21,Đối tượng tiêu dùng chính của sách pháp luật là ai?,Sinh viên luật,Cán bộ công chức,Người nghiên cứu,Tất cả các đáp án trên,D,,MHXBP,1
22,Một rủi ro khi kinh doanh sách pháp luật là gì?,Nội dung nhanh lỗi thời,Rủi ro pháp lý,Khó bán đại trà,Tất cả các đáp án trên,D,,MHXBP,1
23,Sách pháp luật cần được cập nhật vì sao?,Luật thường xuyên thay đổi,Tăng tính chính xác,Phù hợp thực tiễn,Tất cả các đáp án trên,D,,MHXBP,1
24,Đặc điểm nổi bật của sách KHKT là gì?,Tính chuyên sâu,Độ chính xác cao,Tính ứng dụng thực tiễn,Tất cả các đáp án trên,D,,MHXBP,1
25,Sách KHKT phục vụ mục đích gì?,Học tập,Nghiên cứu,Ứng dụng thực tiễn,Tất cả các đáp án trên,D,,MHXBP,1
26,Sách chính trị – pháp luật có đặc điểm gì?,Tính chính trị – pháp lý cao,Độ chính xác cao,Tính cập nhật mạnh,Tất cả các đáp án trên,D,,MHXBP,1
27,Đối tượng tiêu dùng chính của sách pháp luật là ai?,Sinh viên luật,Cán bộ công chức,Người nghiên cứu,Tất cả các đáp án trên,D,,MHXBP,1
28,Một rủi ro khi kinh doanh sách pháp luật là gì?,Nội dung nhanh lỗi thời,Rủi ro pháp lý,Khó bán đại trà,Tất cả các đáp án trên,D,,MHXBP,1
29,Sách pháp luật cần được cập nhật vì sao?,Luật thường xuyên thay đổi,Tăng tính chính xác,Phù hợp thực tiễn,Tất cả các đáp án trên,D,,MHXBP,1
30,Đặc điểm nổi bật của sách KHKT là gì?,Tính chuyên sâu,Độ chính xác cao,Tính ứng dụng thực tiễn,Tất cả các đáp án trên,D,,MHXBP,1
31,Sách KHKT phục vụ mục đích gì?,Học tập,Nghiên cứu,Ứng dụng thực tiễn,Tất cả các đáp án trên,D,,MHXBP,1
32,Xuất bản phẩm được xuất bản thông qua đâu?,Nhà xuất bản hoặc cơ quan được cấp phép,Cửa hàng văn phòng phẩm,Doanh nghiệp vận tải,Kho lưu trữ,A,,MHXBP,1
33,Xuất bản phẩm có thể được thể hiện dưới hình thức nào?,Sách in,Sách chữ nổi,Bản ghi âm ghi hình,Tất cả các đáp án trên,D,,MHXBP,1
